Price_Category,Car_Name,Actual_Price,Mileage,Engine,Seating_Capacity,Image_URL,Car_type,overview,overview_clean,Price_Num
Price_Category,Car_Name,Actual_Price,Mileage,Engine,Seating_Capacity,Image_URL,Custom,Price_Category Car_Name Actual_Price Mileage Engine Seating_Capacity Custom,price category car name actual price mileage engine seating capacity custom,0.0
1 - 5 Lakh,Maruti Wagon R,499000,25.19 kmpl,1197 cc,5 seater,https://www.autovista.in/assets/product_images/gallery/new-wagonR-side.jpg,Petrol/Diesel,1 - 5 Lakh Maruti Wagon R 499000 25.19 kmpl 1197 cc 5 seater Petrol/Diesel,1 5 lakh maruti wagon r 499000 25 19 kmpl 1197 cc 5 seater petrol diesel,499000.0
1 - 5 Lakh,Tata Tiago,457000,19.01 kmpl,1199 cc,5 seater,https://wallpaperaccess.com/full/9236590.jpg,Petrol/Diesel,1 - 5 Lakh Tata Tiago 457000 19.01 kmpl 1199 cc 5 seater Petrol/Diesel,1 5 lakh tata tiago 457000 19 01 kmpl 1199 cc 5 seater petrol diesel,457000.0
1 - 5 Lakh,Maruti Alto K10,370000,24.9 kmpl,998 cc,5 seater,https://www.financialexpress.com/wp-content/uploads/2025/02/Maruti-Alto-K10.jpg?resize=300,Petrol/Diesel,1 - 5 Lakh Maruti Alto K10 370000 24.9 kmpl 998 cc 5 seater Petrol/Diesel,1 5 lakh maruti alto k10 370000 24 9 kmpl 998 cc 5 seater petrol diesel,370000.0
1 - 5 Lakh,Maruti S-Presso,350000,25.3 kmpl,998 cc,5 seater,https://stimg.cardekho.com/images/carexteriorimages/630x420/Maruti/S-Presso/10348/Maruti-S-Presso-LXi/1687519307943/front-left-side-47.jpg,Petrol/Diesel,1 - 5 Lakh Maruti S-Presso 350000 25.3 kmpl 998 cc 5 seater Petrol/Diesel,1 5 lakh maruti s presso 350000 25 3 kmpl 998 cc 5 seater petrol diesel,350000.0
1 - 5 Lakh,Maruti Celerio,470000,26.68 kmpl,998 cc,5 seater,https://stat.overdrive.in/wp-content/odgallery/2014/02/15320_IMG_2441.jpg,Petrol/Diesel,1 - 5 Lakh Maruti Celerio 470000 26.68 kmpl 998 cc 5 seater Petrol/Diesel,1 5 lakh maruti celerio 470000 26 68 kmpl 998 cc 5 seater petrol diesel,470000.0
1 - 5 Lakh,Renault KWID,430000,22.3 kmpl,999 cc,5 seater,http://s4.paultan.org/image/2015/05/renault-kwid-1656-e1432116707242.jpg,Petrol/Diesel,1 - 5 Lakh Renault KWID 430000 22.3 kmpl 999 cc 5 seater Petrol/Diesel,1 5 lakh renault kwid 430000 22 3 kmpl 999 cc 5 seater petrol diesel,430000.0
1 - 5 Lakh,Citroen C3,480000,19.3 kmpl,1199 cc,5 seater,https://mediacloud.carbuyer.co.uk/image/private/s--wn2eU5Hm--/v1605173617/autoexpress/2020/11/Citroen+C3+facelift+2020+UK.jpg,Petrol/Diesel,1 - 5 Lakh Citroen C3 480000 19.3 kmpl 1199 cc 5 seater Petrol/Diesel,1 5 lakh citroen c3 480000 19 3 kmpl 1199 cc 5 seater petrol diesel,480000.0
1 - 5 Lakh,Vayve Mobility Eva,325000,250 km,18 kWh,3 seater,https://www.motorindiaonline.in/wp-content/uploads/2025/01/EVA_Bharat-Mobility_2025.jpg,Electric,1 - 5 Lakh Vayve Mobility Eva 325000 250 km 18 kWh 3 seater Electric,1 5 lakh vayve mobility eva 325000 250 km 18 kwh 3 seater electric,325000.0
1 - 5 Lakh,Bajaj Qute,361000,,216 cc,4 seater,https://ic1.maxabout.us/autos/cars_india/N/2019/5/new-bajaj-qute-rear-3-quarter.jpg,Petrol/Diesel,1 - 5 Lakh Bajaj Qute 361000 216 cc 4 seater Petrol/Diesel,1 5 lakh bajaj qute 361000 216 cc 4 seater petrol diesel,361000.0
1 - 5 Lakh,PMV EaS E,479000,160 km,10 kWh,2 seater,https://cdni.autocarindia.com/ExtraImages/20221116022341_PMV+Eas_E_4_.jpg,Electric,1 - 5 Lakh PMV EaS E 479000 160 km 10 kWh 2 seater Electric,1 5 lakh pmv eas e 479000 160 km 10 kwh 2 seater electric,479000.0
1 - 5 Lakh,Maruti Alto Tour H1,400000,24.39 kmpl,998 cc,5 seater,https://images.bhaskarassets.com/web2images/521/2023/06/10/alto-h1_1686382375.jpg,Petrol/Diesel,1 - 5 Lakh Maruti Alto Tour H1 400000 24.39 kmpl 998 cc 5 seater Petrol/Diesel,1 5 lakh maruti alto tour h1 400000 24 39 kmpl 998 cc 5 seater petrol diesel,400000.0
1 - 5 Lakh,Strom Motors R3,450000,200 km,30 kWh,2 seater ,https://www.team-bhp.com/forum/attachments/electric-cars/1750309d1523338436-strom-motors-unveils-strom-r3-electric-car-india-3.jpg,Electric,1 - 5 Lakh Strom Motors R3 450000 200 km 30 kWh 2 seater  Electric,1 5 lakh strom motors r3 450000 200 km 30 kwh 2 seater electric,450000.0
1 - 5 Lakh,Maruti Wagon R tour,499000,25.4 kmpl,998 cc,5 seater,https://stimg.cardekho.com/images/carexteriorimages/930x620/Maruti/Wagon-R-tour/9442/1675922710720/front-left-side-47.jpg,Petrol/Diesel,1 - 5 Lakh Maruti Wagon R tour 499000 25.4 kmpl 998 cc 5 seater Petrol/Diesel,1 5 lakh maruti wagon r tour 499000 25 4 kmpl 998 cc 5 seater petrol diesel,499000.0
5 - 10 Lakh,Hyundai Venue,726000,24.2 kmpl,1493 cc,5 seater,https://imgd.aeplcdn.com/0x0/n/cw/ec/35455/venue-exterior-left-front-three-quarter.jpeg,Petrol/Diesel,5 - 10 Lakh Hyundai Venue 726000 24.2 kmpl 1493 cc 5 seater Petrol/Diesel,5 10 lakh hyundai venue 726000 24 2 kmpl 1493 cc 5 seater petrol diesel,726000.0
5 - 10 Lakh,Tata Nexon,732000,24.08 kmpl,1497 cc,5 seater,https://ic1.maxabout.us/autos/cars_india/N/2020/10/new-tata-nexon-front-3-quarter-view.jpg,Petrol/Diesel,5 - 10 Lakh Tata Nexon 732000 24.08 kmpl 1497 cc 5 seater Petrol/Diesel,5 10 lakh tata nexon 732000 24 08 kmpl 1497 cc 5 seater petrol diesel,732000.0
5 - 10 Lakh,Tata Punch,550000,20.09 kmpl,1199 cc,5 seater,https://images.news18.com/ibnlive/uploads/2022/09/tata-punch-camo-edition-167203463216x9.jpg?impolicy=website&width=1200&height=675,Petrol/Diesel,5 - 10 Lakh Tata Punch 550000 20.09 kmpl 1199 cc 5 seater Petrol/Diesel,5 10 lakh tata punch 550000 20 09 kmpl 1199 cc 5 seater petrol diesel,550000.0
5 - 10 Lakh,Maruti FRONX,685000,22.89 kmpl,1197 cc,5 seater,https://cdni.autocarindia.com/ExtraImages/20230424024934_FRONX_LAUNCH.jpg,Petrol/Diesel,5 - 10 Lakh Maruti FRONX 685000 22.89 kmpl 1197 cc 5 seater Petrol/Diesel,5 10 lakh maruti fronx 685000 22 89 kmpl 1197 cc 5 seater petrol diesel,685000.0
5 - 10 Lakh,Maruti Swift,579000,25.75 kmpl,1197 cc,5 seater,https://motoringworld.in/wp-content/uploads/2023/12/2024-maruti-swift-1.jpg,Petrol/Diesel,5 - 10 Lakh Maruti Swift 579000 25.75 kmpl 1197 cc 5 seater Petrol/Diesel,5 10 lakh maruti swift 579000 25 75 kmpl 1197 cc 5 seater petrol diesel,579000.0
5 - 10 Lakh,Maruti Ertiga,880000.0000000001,20.51 kmpl,1462 cc,7 seater,https://motoringworld.in/wp-content/uploads/2022/04/2022-Maruti-Suzuki-Ertiga.jpg,Petrol/Diesel,5 - 10 Lakh Maruti Ertiga 880000.0000000001 20.51 kmpl 1462 cc 7 seater Petrol/Diesel,5 10 lakh maruti ertiga 880000 0000000001 20 51 kmpl 1462 cc 7 seater petrol diesel,880000.0000000001
5 - 10 Lakh,Mahindra Bolero,799000,16 kmpl,1493 cc,7 seater,https://ic1.maxabout.us/autos/cars_india/N/2020/12/new-mahindra-bolero.jpg,Petrol/Diesel,5 - 10 Lakh Mahindra Bolero 799000 16 kmpl 1493 cc 7 seater Petrol/Diesel,5 10 lakh mahindra bolero 799000 16 kmpl 1493 cc 7 seater petrol diesel,799000.0
5 - 10 Lakh,Mahindra Thar,999000,9 kmpl,2184 cc,4 seater,https://wallpaperaccess.com/full/3939250.jpg,Petrol/Diesel,5 - 10 Lakh Mahindra Thar 999000 9 kmpl 2184 cc 4 seater Petrol/Diesel,5 10 lakh mahindra thar 999000 9 kmpl 2184 cc 4 seater petrol diesel,999000.0
5 - 10 Lakh,Maruti Baleno,599000,22.94 kmpl,1197 cc,5 seater,https://www.autovista.in/assets/img/new_cars_colour_variants/new-baleno-colour-pearl-phoenix-red.jpg,Petrol/Diesel,5 - 10 Lakh Maruti Baleno 599000 22.94 kmpl 1197 cc 5 seater Petrol/Diesel,5 10 lakh maruti baleno 599000 22 94 kmpl 1197 cc 5 seater petrol diesel,599000.0
5 - 10 Lakh,Maruti Dzire,626000,25.71 kmpl,1197 cc,5 seater,https://img.autocarindia.com/model/uploads/modelimages/Maruti-Suzuki-New-Dzire-111120241412.jpg,Petrol/Diesel,5 - 10 Lakh Maruti Dzire 626000 25.71 kmpl 1197 cc 5 seater Petrol/Diesel,5 10 lakh maruti dzire 626000 25 71 kmpl 1197 cc 5 seater petrol diesel,626000.0
5 - 10 Lakh,Maruti Brezza,826000,19.89 kmpl,1462 cc,5 seater,https://imgd.aeplcdn.com/664x374/n/cw/ec/107543/vitara-brezza-2022-exterior-right-front-three-quarter.jpeg?isig=0&q=75,Petrol/Diesel,5 - 10 Lakh Maruti Brezza 826000 19.89 kmpl 1462 cc 5 seater Petrol/Diesel,5 10 lakh maruti brezza 826000 19 89 kmpl 1462 cc 5 seater petrol diesel,826000.0
5 - 10 Lakh,Mahindra XUV 3XO,728000,20.6 kmpl,1498 cc,5 seater,https://www.autobics.com/wp-content/uploads/2024/04/2024-Mahindra-XUV-3XO-Deep-Forest.jpg,Petrol/Diesel,5 - 10 Lakh Mahindra XUV 3XO 728000 20.6 kmpl 1498 cc 5 seater Petrol/Diesel,5 10 lakh mahindra xuv 3xo 728000 20 6 kmpl 1498 cc 5 seater petrol diesel,728000.0
5 - 10 Lakh,Kia Sonet,730000,24.1 kmpl,1493 cc,5 seater,https://cdni.autocarindia.com/Utils/ImageResizer.ashx?n=https://cdni.autocarindia.com/ExtraImages/20200807032911_Kia-Sonet-front-1.jpg&w=700&q=90&c=1,Petrol/Diesel,5 - 10 Lakh Kia Sonet 730000 24.1 kmpl 1493 cc 5 seater Petrol/Diesel,5 10 lakh kia sonet 730000 24 1 kmpl 1493 cc 5 seater petrol diesel,730000.0
5 - 10 Lakh,Maruti Wagon R,499000,25.19 kmpl,1197 cc,5 seater,https://www.autovista.in/assets/product_images/gallery/new-wagonR-side.jpg,Petrol/Diesel,5 - 10 Lakh Maruti Wagon R 499000 25.19 kmpl 1197 cc 5 seater Petrol/Diesel,5 10 lakh maruti wagon r 499000 25 19 kmpl 1197 cc 5 seater petrol diesel,499000.0
5 - 10 Lakh,Tata Tiago,457000,19.01 kmpl,1199 cc,5 seater,https://wallpaperaccess.com/full/9236590.jpg,Petrol/Diesel,5 - 10 Lakh Tata Tiago 457000 19.01 kmpl 1199 cc 5 seater Petrol/Diesel,5 10 lakh tata tiago 457000 19 01 kmpl 1199 cc 5 seater petrol diesel,457000.0
5 - 10 Lakh,Hyundai i20,687000,20 kmpl,1197 cc,5 seater,https://media.autoexpress.co.uk/image/private/s--Pc1jrBMe--/v1612869561/autoexpress/2021/02/Hyundai-i20-front-driving.jpg,Petrol/Diesel,5 - 10 Lakh Hyundai i20 687000 20 kmpl 1197 cc 5 seater Petrol/Diesel,5 10 lakh hyundai i20 687000 20 kmpl 1197 cc 5 seater petrol diesel,687000.0
5 - 10 Lakh,Maruti Alto K10,370000,24.9 kmpl,998 cc,4 seater,https://www.autovista.in/assets/product_images/gallery/altok10_web.jpeg,Petrol/Diesel,5 - 10 Lakh Maruti Alto K10 370000 24.9 kmpl 998 cc 4 seater Petrol/Diesel,5 10 lakh maruti alto k10 370000 24 9 kmpl 998 cc 4 seater petrol diesel,370000.0
5 - 10 Lakh,Tata Altroz,630000,,1497 cc,5 seater,https://www.hdcarwallpapers.com/download/tata_altroz_ev_geneva_edition_2019_4k-1920x1080.jpg,Petrol/Diesel,5 - 10 Lakh Tata Altroz 630000 1497 cc 5 seater Petrol/Diesel,5 10 lakh tata altroz 630000 1497 cc 5 seater petrol diesel,630000.0
5 - 10 Lakh,Skoda Kylaq,755000,19.68 kmpl,999 cc,5 seater,https://static.india.com/wp-content/uploads/2024/11/Skoda-Kylaq-2.jpeg,Petrol/Diesel,5 - 10 Lakh Skoda Kylaq 755000 19.68 kmpl 999 cc 5 seater Petrol/Diesel,5 10 lakh skoda kylaq 755000 19 68 kmpl 999 cc 5 seater petrol diesel,755000.0
5 - 10 Lakh,Hyundai Aura,598000,17 kmpl,1197 cc,5 seater,https://cdni.autocarindia.com/Utils/ImageResizer.ashx?n=https://cdni.autocarindia.com/Galleries/20200121060227_hyundai-aura-4.jpg&w=730&h=484&q=75&c=1,Petrol/Diesel,5 - 10 Lakh Hyundai Aura 598000 17 kmpl 1197 cc 5 seater Petrol/Diesel,5 10 lakh hyundai aura 598000 17 kmpl 1197 cc 5 seater petrol diesel,598000.0
5 - 10 Lakh,Hyundai Exter,568000,19.4 kmpl,1197 cc,5 seater,https://www.hyundai.com/content/dam/hyundai/in/en/data/find-a-car/Exter/Highlights/smallimageexter2_5.jpg,Petrol/Diesel,5 - 10 Lakh Hyundai Exter 568000 19.4 kmpl 1197 cc 5 seater Petrol/Diesel,5 10 lakh hyundai exter 568000 19 4 kmpl 1197 cc 5 seater petrol diesel,568000.0
10 - 15 Lakh,Hyundai Venue,726000,24.2 kmpl,1493 cc,5 seater,https://imgd.aeplcdn.com/0x0/n/cw/ec/35455/venue-exterior-left-front-three-quarter.jpeg,Petrol/Diesel,10 - 15 Lakh Hyundai Venue 726000 24.2 kmpl 1493 cc 5 seater Petrol/Diesel,10 15 lakh hyundai venue 726000 24 2 kmpl 1493 cc 5 seater petrol diesel,726000.0
10 - 15 Lakh,Tata Nexon,732000,24.08 kmpl,1497 cc,5 seater,https://ic1.maxabout.us/autos/cars_india/N/2020/10/new-tata-nexon-front-3-quarter-view.jpg,Petrol/Diesel,10 - 15 Lakh Tata Nexon 732000 24.08 kmpl 1497 cc 5 seater Petrol/Diesel,10 15 lakh tata nexon 732000 24 08 kmpl 1497 cc 5 seater petrol diesel,732000.0
10 - 15 Lakh,Mahindra XUV700,1366000,17 kmpl,2198 cc,7 seater,https://wallpapercave.com/wp/wp9697065.jpg,Petrol/Diesel,10 - 15 Lakh Mahindra XUV700 1366000 17 kmpl 2198 cc 7 seater Petrol/Diesel,10 15 lakh mahindra xuv700 1366000 17 kmpl 2198 cc 7 seater petrol diesel,1366000.0
10 - 15 Lakh,Mahindra Scorpio N,1320000,15.94 kmpl,2198 cc,7 seater,https://www.elcarrocolombiano.com/wp-content/uploads/2022/06/20220628-MAHINDRA-SCORPIO-N-PORTADA.jpg,Petrol/Diesel,10 - 15 Lakh Mahindra Scorpio N 1320000 15.94 kmpl 2198 cc 7 seater Petrol/Diesel,10 15 lakh mahindra scorpio n 1320000 15 94 kmpl 2198 cc 7 seater petrol diesel,1320000.0
10 - 15 Lakh,Maruti FRONX,685000,22.89 kmpl,1197 cc,5 seater,https://cdni.autocarindia.com/ExtraImages/20230424024934_FRONX_LAUNCH.jpg,Petrol/Diesel,10 - 15 Lakh Maruti FRONX 685000 22.89 kmpl 1197 cc 5 seater Petrol/Diesel,10 15 lakh maruti fronx 685000 22 89 kmpl 1197 cc 5 seater petrol diesel,685000.0
10 - 15 Lakh,Hyundai Creta,1073000,21.8 kmpl,1497 cc,5 seater,https://imgd.aeplcdn.com/1280x720/cw/ec/19382/Hyundai-Creta-Right-Front-Three-Quarter-94227.jpg?wm=0&q=100,Petrol/Diesel,10 - 15 Lakh Hyundai Creta 1073000 21.8 kmpl 1497 cc 5 seater Petrol/Diesel,10 15 lakh hyundai creta 1073000 21 8 kmpl 1497 cc 5 seater petrol diesel,1073000.0
10 - 15 Lakh,Maruti Ertiga,880000.0000000001,20.51 kmpl,1462 cc,7 seater,https://cdn.cars24.com/prod/new-car-cms/Maruti-Suzuki/Ertiga/2024/04/01/9c54909b-8c58-40e3-b72b-81205b97bf64-Maruti-Suzuki_Ertiga_Splendid-Silver_1_.png,Petrol/Diesel,10 - 15 Lakh Maruti Ertiga 880000.0000000001 20.51 kmpl 1462 cc 7 seater Petrol/Diesel,10 15 lakh maruti ertiga 880000 0000000001 20 51 kmpl 1462 cc 7 seater petrol diesel,880000.0000000001
10 - 15 Lakh,Mahindra Scorpio,1298000,14.44 kmpl,2184 cc,7 seater,https://content.carlelo.com/uploads/model/mahindra-scorpio-classic-1.webp,Petrol/Diesel,10 - 15 Lakh Mahindra Scorpio 1298000 14.44 kmpl 2184 cc 7 seater Petrol/Diesel,10 15 lakh mahindra scorpio 1298000 14 44 kmpl 2184 cc 7 seater petrol diesel,1298000.0
10 - 15 Lakh,Mahindra Thar,999000,9 kmpl,2184 cc,4 seater,https://cdni.autocarindia.com/ExtraImages/20200816011251_2020-Mahindra-Thar-off-road-action-1.jpg,Petrol/Diesel,10 - 15 Lakh Mahindra Thar 999000 9 kmpl 2184 cc 4 seater Petrol/Diesel,10 15 lakh mahindra thar 999000 9 kmpl 2184 cc 4 seater petrol diesel,999000.0
10 - 15 Lakh,Maruti Brezza,826000,19.89 kmpl,1462 cc,5 seater,https://imgd.aeplcdn.com/664x374/n/cw/ec/107543/vitara-brezza-2022-exterior-right-front-three-quarter.jpeg?isig=0&q=75,Petrol/Diesel,10 - 15 Lakh Maruti Brezza 826000 19.89 kmpl 1462 cc 5 seater Petrol/Diesel,10 15 lakh maruti brezza 826000 19 89 kmpl 1462 cc 5 seater petrol diesel,826000.0
10 - 15 Lakh,Mahindra XUV 3XO,728000,20.6 kmpl,1498 cc,5 seater,https://cdni.autocarindia.com/ExtraImages/20240523034646_3XO+Image+Web.001.jpeg,Petrol/Diesel,10 - 15 Lakh Mahindra XUV 3XO 728000 20.6 kmpl 1498 cc 5 seater Petrol/Diesel,10 15 lakh mahindra xuv 3xo 728000 20 6 kmpl 1498 cc 5 seater petrol diesel,728000.0
10 - 15 Lakh,Kia Sonet,730000,24.1 kmpl,1493 cc,5 seater,https://cdni.autocarindia.com/Utils/ImageResizer.ashx?n=https://cdni.autocarindia.com/ExtraImages/20200807032911_Kia-Sonet-front-1.jpg&w=700&q=90&c=1,Petrol/Diesel,10 - 15 Lakh Kia Sonet 730000 24.1 kmpl 1493 cc 5 seater Petrol/Diesel,10 15 lakh kia sonet 730000 24 1 kmpl 1493 cc 5 seater petrol diesel,730000.0
10 - 15 Lakh,Maruti Grand Vitara,1077000,27.97 kmpl,1490 cc,5 seater,https://cdni.autocarindia.com/ExtraImages/20220926122533_WhatsApp+Image+2022_09_26+at+12.23.25+PM.jpg,Petrol/Diesel,10 - 15 Lakh Maruti Grand Vitara 1077000 27.97 kmpl 1490 cc 5 seater Petrol/Diesel,10 15 lakh maruti grand vitara 1077000 27 97 kmpl 1490 cc 5 seater petrol diesel,1077000.0
10 - 15 Lakh,Maruti Victoris,1050000,28.65 kmpl,1490 cc,5 seater,https://img.autocarindia.com/Galleries/20250903040828_maruti_victoris_front_three_quarter.jpg,Petrol/Diesel,10 - 15 Lakh Maruti Victoris 1050000 28.65 kmpl 1490 cc 5 seater Petrol/Diesel,10 15 lakh maruti victoris 1050000 28 65 kmpl 1490 cc 5 seater petrol diesel,1050000.0
10 - 15 Lakh,Kia Carens,1099000,12.6 kmpl,1497 cc,7 seater,https://www.dubicars.com/images/2b6761/r_960x540/generations/generation_64a31650b50a2_kia-carens-exterior-front-right-angled.webp?6,Petrol/Diesel,10 - 15 Lakh Kia Carens 1099000 12.6 kmpl 1497 cc 7 seater Petrol/Diesel,10 15 lakh kia carens 1099000 12 6 kmpl 1497 cc 7 seater petrol diesel,1099000.0
10 - 15 Lakh,Mahindra Thar ROXX,1225000,15.2 kmpl,2184 cc,5 seater,https://cdni.autocarindia.com/ExtraImages/20240814093627_Mahindra_Thar_Roxx_front_white.png,Petrol/Diesel,10 - 15 Lakh Mahindra Thar ROXX 1225000 15.2 kmpl 2184 cc 5 seater Petrol/Diesel,10 15 lakh mahindra thar roxx 1225000 15 2 kmpl 2184 cc 5 seater petrol diesel,1225000.0
10 - 15 Lakh,Kia Seltos,1079000,20.7 kmpl,1497 cc,5 seater,https://www.kia.com/content/dam/kia2/in/en/our-vehicles/showroom/seltos/KIA_Seltos_KV_1920.jpg,Petrol/Diesel,10 - 15 Lakh Kia Seltos 1079000 20.7 kmpl 1497 cc 5 seater Petrol/Diesel,10 15 lakh kia seltos 1079000 20 7 kmpl 1497 cc 5 seater petrol diesel,1079000.0
10 - 15 Lakh,Hyundai i20,687000,20 kmpl,1197 cc,5 seater,https://media.autoexpress.co.uk/image/private/s--Pc1jrBMe--/v1612869561/autoexpress/2021/02/Hyundai-i20-front-driving.jpg,Petrol/Diesel,10 - 15 Lakh Hyundai i20 687000 20 kmpl 1197 cc 5 seater Petrol/Diesel,10 15 lakh hyundai i20 687000 20 kmpl 1197 cc 5 seater petrol diesel,687000.0
